employee_id,employee_name,email,department,job_title,job_level,employment_type,hire_date,tenure_years,work_location,work_city,work_type,salary,manager_id,cost_centre,status,gender,age_band,performance_rating,last_promotion_date,training_hours_ytd
EMP0001,Lucy Brown,emp0001@snowtelco.co.uk,IT,Entry IT Specialist,Entry,Full-time,2025-09-15,0.4,Cardiff Office,Cardiff,Hybrid,27218.0,EMP0377,CC009,Active,F,25-34,2,,21
EMP0002,Sarah Thompson,emp0002@snowtelco.co.uk,Sales - Consumer,Junior Sales Specialist,Junior,Full-time,2023-01-22,3.0,Cardiff Office,Cardiff,On-site,37375.0,EMP0458,CC007,Active,M,45-54,3,2023-08-31,29
EMP0003,James Davies,emp0003@snowtelco.co.uk,Customer Service,Mid Customer Service Specialist,Mid,Full-time,2025-07-29,0.5,London Contact Centre,London,Remote,44983.0,EMP0397,CC003,Active,F,25-34,5,,55
EMP0004,Olivia White,emp0004@snowtelco.co.uk,Network Engineering,Senior Network Engineering Specialist,Senior,Full-time,2016-11-30,9.2,Edinburgh Office,Edinburgh,Hybrid,70002.0,EMP0055,CC002,Notice Period,F,35-44,3,2025-10-13,41
EMP0005,David Thompson,emp0005@snowtelco.co.uk,HR,Senior HR Specialist,Senior,Full-time,2018-02-26,7.9,Edinburgh Office,Edinburgh,Remote,64805.0,EMP0049,CC008,Active,Other,45-54,3,2021-08-21,76
EMP0006,Sophie Thomas,emp0006@snowtelco.co.uk,Retail Operations,Entry Retail Operations Specialist,Entry,Full-time,2019-10-08,6.3,SnowTelco Aberdeen Airport 2,Aberdeen,On-site,23022.0,EMP0461,CC001,Active,M,35-44,4,2023-09-28,52
EMP0007,William Wright,emp0007@snowtelco.co.uk,Marketing,Junior Marketing Specialist,Junior,Full-time,2025-12-04,0.2,Manchester Office,Manchester,Remote,34797.0,EMP0172,CC005,Active,M,18-24,3,,54
EMP0008,Emma Thomas,emp0008@snowtelco.co.uk,Sales - Consumer,Senior Sales Specialist,Senior,Full-time,2021-03-18,4.9,Manchester Office,Manchester,Hybrid,72078.0,EMP0195,CC007,Active,F,25-34,4,2025-08-15,79
EMP0009,Olivia Hall,emp0009@snowtelco.co.uk,Customer Service,Entry Customer Service Specialist,Entry,Part-time,2024-09-28,1.3,Manchester Contact Centre,Manchester,On-site,26407.0,EMP0165,CC003,Active,F,55+,4,2025-04-03,2
EMP0010,Thomas Davies,emp0010@snowtelco.co.uk,Sales - B2B,Senior Sales Specialist,Senior,Full-time,2018-10-28,7.3,Birmingham Office,Birmingham,On-site,58470.0,EMP0064,CC006,Active,F,35-44,5,2023-07-29,38
