fraud_case_id,fraud_type_id,detection_date,detection_timestamp,detection_method,ml_confidence_score,subscriber_key,msisdn,suspected_amount,actual_loss,prevented_loss,status,resolution_type,resolution_date,investigating_team,city,risk_score,is_repeat_offender
1,7,2025-01-13,2025-01-13 21:47:00,Customer Report,,29235,447685582861,1496.02,0.0,1496.02,Confirmed,Refund Issued,,Fraud Ops,Cardiff,87,True
2,1,2025-04-30,2025-04-30 17:26:00,ML Model,0.87,7224,447582334538,2576.24,0.0,2576.24,Detected,,,Security,Nottingham,60,False
3,2,2025-08-05,2025-08-05 03:22:00,Real-time Monitor,,27771,447469319644,1767.23,827.59,402.62,Investigating,,,Security,Nottingham,62,False
4,6,2025-07-13,2025-07-13 11:36:00,Customer Report,,6301,447856528252,203.66,0.0,203.66,Confirmed,Write-off,,Fraud Ops,London,74,False
5,12,2025-04-30,2025-04-30 11:10:00,Customer Report,,12131,447481469012,1739.64,0.0,1739.64,Confirmed,Customer Warned,,Revenue Assurance,Belfast,77,False
6,8,2025-02-06,2025-02-06 20:44:00,Customer Report,,18251,447335809993,30651.98,11699.9,9619.71,Investigating,,,Security,Southampton,63,False
7,1,2025-06-11,2025-06-11 18:56:00,Manual Review,,23525,447437882805,2065.71,0.0,2065.71,Detected,,,Revenue Assurance,Belfast,91,False
8,11,2025-08-23,2025-08-23 13:57:00,Customer Report,,19122,447528853029,800.07,455.63,339.31,Investigating,,,Security,Leeds,68,False
9,1,2025-01-25,2025-01-25 19:29:00,ML Model,0.88,17339,447369953851,4319.4,2583.88,1362.47,Investigating,,,Fraud Ops,Belfast,67,False
10,6,2025-05-17,2025-05-17 14:00:00,Rule Engine,,23662,447872751234,1548.77,0.0,1548.77,Confirmed,Law Enforcement,,Security,Edinburgh,71,False
11,1,2025-11-17,2025-11-17 17:49:00,ML Model,0.91,17379,447100614068,1562.38,0.0,1562.38,Resolved,No Action,2025-11-24,Security,Sheffield,61,True
12,3,2026-02-18,2026-02-18 02:05:00,Manual Review,,23984,447621828280,15721.95,0.0,15721.95,Detected,,,Fraud Ops,Nottingham,94,False
13,1,2025-09-01,2025-09-01 17:48:00,Rule Engine,,23919,447840739735,4739.56,2859.36,2319.11,Investigating,,,Revenue Assurance,Newcastle,79,False
14,8,2025-07-11,2025-07-11 18:35:00,ML Model,0.76,7541,447731832764,22185.95,0.0,22185.95,Resolved,Account Blocked,2025-07-19,Revenue Assurance,London,64,False
15,1,2025-02-04,2025-02-04 04:46:00,ML Model,0.73,28914,447713152854,4536.56,2878.4,1198.88,False Positive,,,External Partner,Leeds,90,False
16,2,2025-02-19,2025-02-19 23:03:00,Rule Engine,,22065,447801642483,3329.02,0.0,3329.02,Confirmed,Customer Warned,,Fraud Ops,London,85,False
17,9,2025-02-25,2025-02-25 07:55:00,Rule Engine,,2471,447575808013,534.88,273.29,151.67,Investigating,,,Fraud Ops,London,94,False
