po_id,po_number,vendor_key,po_date,expected_date,total_amount,status,received_date,payment_terms,buyer,department_key
12398,PO012398,13,2020-01-01,2020-02-17,52811.59,Open,,Net 90,Ella Johnson,4
4521,PO004521,43,2020-01-01,2020-01-18,82002.84,Completed,2020-01-25,Net 30,Harper Jones,6
14697,PO014697,10,2020-01-01,2020-01-10,94267.49,Completed,2020-01-31,Net 60,Jessica Walker,5
13674,PO013674,27,2020-01-01,2020-01-08,492383.34,Partial,,Net 90,David Roberts,7
12175,PO012175,16,2020-01-01,2020-02-15,50494.5,Completed,2020-02-02,Net 60,Matthew Robinson,2
997,PO000997,28,2020-01-01,2020-01-24,487236.46,Completed,2020-02-13,Net 45,Emma Turner,1
2191,PO002191,44,2020-01-01,2020-01-14,470207.76,Open,,Net 30,Matthew Wood,9
10411,PO010411,36,2020-01-01,2020-02-22,94902.54,Completed,2020-01-13,Net 45,Sophia Taylor,5
8731,PO008731,18,2020-01-02,2020-02-29,220551.2,Completed,2020-01-27,Net 30,Samuel Wilson,5
10634,PO010634,30,2020-01-02,2020-02-10,316996.81,Completed,2020-02-16,Net 90,Samuel Hill,1
9925,PO009925,30,2020-01-02,2020-01-20,376502.69,Cancelled,,Net 90,Thomas Taylor,2
16123,PO016123,45,2020-01-02,2020-01-23,242236.98,Cancelled,,Net 90,Jack Turner,1
3782,PO003782,6,2020-01-02,2020-01-13,496928.67,Cancelled,,Net 90,Isabella Cooper,1
19871,PO019871,48,2020-01-02,2020-01-17,407975.82,Partial,,Net 30,Lucas Smith,3
6403,PO006403,14,2020-01-02,2020-01-17,431699.3,Completed,2020-01-16,Net 45,Emma Davies,10
8331,PO008331,28,2020-01-02,2020-02-20,89776.37,Cancelled,,Net 45,Freya Wright,6
3402,PO003402,21,2020-01-02,2020-01-14,485004.83,Completed,2020-01-30,Net 30,Emma Green,4
18414,PO018414,25,2020-01-02,2020-02-24,385480.72,Completed,2020-01-09,Net 60,Henry Wright,9
12754,PO012754,37,2020-01-02,2020-02-18,114922.91,Completed,2020-02-12,Net 45,Emily Lewis,2
14607,PO014607,3,2020-01-03,2020-01-18,303880.22,Partial,,Net 60,Noah Hill,3
10066,PO010066,39,2020-01-03,2020-02-10,43644.76,Completed,2020-02-13,Net 45,Jack Roberts,9
4886,PO004886,4,2020-01-03,2020-01-28,113278.15,Completed,2020-01-15,Net 90,Grace Williams,6
9461,PO009461,19,2020-01-03,2020-02-03,401793.1,Partial,,Net 90,Oscar Hughes,2
14567,PO014567,11,2020-01-03,2020-01-31,89401.22,Completed,2020-01-29,Net 90,Daniel Harris,7
8005,PO008005,27,2020-01-03,2020-02-10,146135.01,Cancelled,,Net 30,Thomas Turner,5
9148,PO009148,29,2020-01-03,2020-02-20,326838.97,Cancelled,,Net 60,Sophie Thompson,7
10285,PO010285,31,2020-01-03,2020-02-17,81095.71,Partial,,Net 90,Benjamin Hall,5
651,PO000651,25,2020-01-03,2020-02-21,195128.43,Partial,,Net 30,Ruby Williams,8
8376,PO008376,48,2020-01-03,2020-02-23,478476.52,Partial,,Net 30,Emily Wood,3
12815,PO012815,1,2020-01-04,2020-01-24,6913.33,Completed,2020-01-31,Net 30,Oliver Williams,3
5354,PO005354,3,2020-01-04,2020-01-25,278144.41,Cancelled,,Net 30,Grace Evans,6
16464,PO016464,3,2020-01-04,2020-02-09,170490.26,Completed,2020-01-24,Net 60,James Wood,6
8402,PO008402,41,2020-01-04,2020-01-13,399151.31,Completed,2020-01-13,Net 30,Benjamin Harris,8
13645,PO013645,19,2020-01-04,2020-02-10,80686.23,Cancelled,,Net 45,Benjamin Harris,8
10452,PO010452,38,2020-01-04,2020-02-26,325969.13,Cancelled,,Net 90,Isabella Jackson,3
12965,PO012965,49,2020-01-04,2020-01-24,406077.99,Cancelled,,Net 30,Isabella Cooper,5
10978,PO010978,38,2020-01-04,2020-03-04,152458.17,Cancelled,,Net 90,Harper Cooper,10
15641,PO015641,7,2020-01-05,2020-01-12,405278.02,Completed,2020-02-09,Net 90,Emily Edwards,8
16373,PO016373,14,2020-01-05,2020-02-09,97417.81,Completed,2020-01-28,Net 30,Ella Wilson,9
10197,PO010197,6,2020-01-05,2020-03-01,473652.92,Partial,,Net 60,George Taylor,9
10796,PO010796,2,2020-01-05,2020-02-11,140939.0,Cancelled,,Net 45,Olivia Wilson,6
6433,PO006433,9,2020-01-05,2020-01-25,356448.65,Partial,,Net 60,Noah Thompson,3
4614,PO004614,35,2020-01-05,2020-02-19,444421.97,Open,,Net 60,David Evans,3
16140,PO016140,44,2020-01-05,2020-02-11,394181.65,Partial,,Net 45,Lily Hall,7
3975,PO003975,16,2020-01-05,2020-02-03,113255.76,Cancelled,,Net 30,Charlie Patel,7
13201,PO013201,28,2020-01-05,2020-02-27,415493.92,Cancelled,,Net 45,David Jackson,5
19781,PO019781,31,2020-01-05,2020-02-20,212928.23,Completed,2020-02-16,Net 60,Alexander Hall,7
12684,PO012684,28,2020-01-06,2020-03-06,357974.84,Open,,Net 60,Ruby Davies,6
19481,PO019481,36,2020-01-06,2020-03-06,438387.98,Completed,2020-01-27,Net 30,Freya Smith,3
1374,PO001374,49,2020-01-06,2020-02-25,148594.25,Partial,,Net 30,Emily Cooper,4
5204,PO005204,19,2020-01-06,2020-02-25,30024.72,Partial,,Net 60,Grace Wright,2
12208,PO012208,38,2020-01-06,2020-02-25,482274.77,Completed,2020-01-18,Net 30,Matthew Hall,4
15043,PO015043,8,2020-01-06,2020-02-13,136300.14,Completed,2020-01-25,Net 45,Thomas Turner,6
13249,PO013249,5,2020-01-06,2020-01-13,443587.79,Cancelled,,Net 30,Alexander Hughes,10
7951,PO007951,19,2020-01-06,2020-02-19,225534.69,Completed,2020-01-24,Net 90,Alice Clarke,2
8428,PO008428,6,2020-01-06,2020-03-05,267785.09,Cancelled,,Net 90,Joseph Wilson,9
5141,PO005141,11,2020-01-06,2020-03-02,93544.19,Open,,Net 60,Sophie Martin,1
13957,PO013957,6,2020-01-06,2020-02-22,492948.57,Completed,2020-02-05,Net 60,Ruby Walker,9
19131,PO019131,2,2020-01-07,2020-02-15,15900.4,Completed,2020-01-21,Net 90,Sophia Evans,8
4732,PO004732,9,2020-01-07,2020-02-06,28985.25,Open,,Net 60,Sophie Edwards,5
11863,PO011863,19,2020-01-07,2020-01-28,262316.72,Cancelled,,Net 60,Daniel Patel,9
4585,PO004585,36,2020-01-07,2020-01-28,362582.99,Completed,2020-01-22,Net 90,Benjamin Turner,5
2830,PO002830,24,2020-01-07,2020-02-04,76295.74,Partial,,Net 60,Samuel Edwards,8
2231,PO002231,10,2020-01-07,2020-01-29,348747.65,Completed,2020-01-21,Net 60,Emma Edwards,7
1635,PO001635,26,2020-01-07,2020-01-21,452851.02,Completed,2020-01-24,Net 30,Emma Williams,4
15835,PO015835,39,2020-01-07,2020-02-21,25015.91,Completed,2020-01-14,Net 60,Harper Martin,5
18193,PO018193,49,2020-01-07,2020-02-25,466355.62,Cancelled,,Net 60,Samuel Hall,9
12783,PO012783,9,2020-01-08,2020-02-29,285291.02,Partial,,Net 60,James Roberts,1
11974,PO011974,13,2020-01-08,2020-02-25,399807.28,Completed,2020-01-21,Net 30,Emma Patel,1
11409,PO011409,45,2020-01-08,2020-01-27,303324.01,Completed,2020-02-21,Net 30,Emily Harris,2
9308,PO009308,41,2020-01-08,2020-01-21,377212.74,Partial,,Net 45,David Turner,3
8699,PO008699,14,2020-01-08,2020-02-24,488482.0,Completed,2020-01-21,Net 45,Evelyn Hill,7
4447,PO004447,16,2020-01-08,2020-01-20,126592.3,Open,,Net 45,Samuel Roberts,10
10394,PO010394,1,2020-01-08,2020-03-05,490907.08,Completed,2020-01-23,Net 30,Mia Hughes,7
7953,PO007953,40,2020-01-08,2020-01-30,278941.14,Completed,2020-02-12,Net 60,Charlie Jones,5
5830,PO005830,4,2020-01-08,2020-02-02,494566.01,Partial,,Net 45,Isabella Lewis,10
13571,PO013571,16,2020-01-08,2020-02-03,284038.51,Partial,,Net 90,Leo Taylor,5
9468,PO009468,21,2020-01-08,2020-02-23,75350.38,Completed,2020-02-14,Net 45,Henry Thomas,10
2440,PO002440,1,2020-01-08,2020-01-26,2335.54,Partial,,Net 45,Alexander Smith,10
15806,PO015806,28,2020-01-09,2020-02-07,375597.77,Open,,Net 30,Ruby Thompson,7
12611,PO012611,12,2020-01-09,2020-02-11,440413.95,Completed,2020-02-19,Net 45,Ella White,2
13975,PO013975,34,2020-01-09,2020-02-05,462654.78,Partial,,Net 30,Oscar Wilson,2
5644,PO005644,37,2020-01-09,2020-03-01,136672.67,Completed,2020-02-04,Net 30,Chloe Brown,8
14622,PO014622,8,2020-01-09,2020-02-11,385908.85,Completed,2020-02-23,Net 30,Harry Wilson,8
14074,PO014074,17,2020-01-10,2020-01-29,459244.67,Completed,2020-01-28,Net 45,Oliver Patel,4
12485,PO012485,50,2020-01-10,2020-01-20,229863.58,Completed,2020-02-03,Net 30,Noah Hill,6
15596,PO015596,38,2020-01-10,2020-03-05,358360.27,Completed,2020-01-18,Net 60,Thomas Williams,7
12723,PO012723,12,2020-01-10,2020-03-10,189946.94,Completed,2020-02-08,Net 60,Isabella Walker,5
17391,PO017391,21,2020-01-10,2020-03-03,289378.98,Completed,2020-01-17,Net 45,Sophia Robinson,4
