quota_id,user_id,rep_name,team,period_start,period_end,quota_amount,quota_type,territory,fiscal_year,fiscal_quarter
QTA00000001,USR000001,Daniel Jones,Consumer,2026-01-01,2026-01-31,40095.21,Revenue,Midlands,2026,1
QTA00000002,USR000001,Daniel Jones,Consumer,2026-02-01,2026-02-28,42322.72,Revenue,Midlands,2026,1
QTA00000003,USR000002,Luna Anderson,Partners,2026-01-01,2026-01-31,105997.3,Upsell,North,2026,1
QTA00000004,USR000002,Luna Anderson,Partners,2026-02-01,2026-02-28,111886.04,Revenue,North,2026,1
QTA00000005,USR000003,John Williams,Partners,2026-01-01,2026-01-31,80379.97,Revenue,South East,2026,1
QTA00000006,USR000003,John Williams,Partners,2026-02-01,2026-02-28,84845.52,New Business,South East,2026,1
QTA00000007,USR000004,Charlotte Scott,Enterprise,2026-01-01,2026-01-31,130610.96,New Business,London,2026,1
QTA00000008,USR000004,Charlotte Scott,Enterprise,2026-02-01,2026-02-28,137867.12,New Business,London,2026,1
QTA00000009,USR000005,Amanda Morris,Enterprise,2026-01-01,2026-01-31,153802.38,Renewals,London,2026,1
QTA00000010,USR000005,Amanda Morris,Enterprise,2026-02-01,2026-02-28,162346.96,Revenue,London,2026,1
QTA00000011,USR000006,John Harris,Enterprise,2026-01-01,2026-01-31,160269.48,Revenue,North,2026,1
QTA00000012,USR000006,John Harris,Enterprise,2026-02-01,2026-02-28,169173.34,Revenue,North,2026,1
QTA00000013,USR000007,Zoey Evans,Partners,2026-01-01,2026-01-31,92529.14,Revenue,Wales,2026,1
QTA00000014,USR000007,Zoey Evans,Partners,2026-02-01,2026-02-28,97669.65,Revenue,Wales,2026,1
QTA00000015,USR000008,Nathan Hall,Enterprise,2026-01-01,2026-01-31,154661.33,Renewals,North,2026,1
QTA00000016,USR000008,Nathan Hall,Enterprise,2026-02-01,2026-02-28,163253.62,Renewals,North,2026,1
QTA00000017,USR000009,Harper Lee,Partners,2026-01-01,2026-01-31,117735.38,Revenue,Midlands,2026,1
QTA00000018,USR000009,Harper Lee,Partners,2026-02-01,2026-02-28,124276.24,New Business,Midlands,2026,1
QTA00000019,USR000010,Ryan Young,Enterprise,2026-01-01,2026-01-31,155540.07,Upsell,North,2026,1
QTA00000020,USR000010,Ryan Young,Enterprise,2026-02-01,2026-02-28,164181.19,New Business,North,2026,1
QTA00000021,USR000011,Penelope Jackson,Partners,2026-01-01,2026-01-31,81014.65,Revenue,North,2026,1
QTA00000022,USR000011,Penelope Jackson,Partners,2026-02-01,2026-02-28,85515.46,Revenue,North,2026,1
QTA00000023,USR000012,Lily Hughes,Enterprise,2026-01-01,2026-01-31,124799.48,Revenue,London,2026,1
