technician_id,technician_name,employee_id,specialization,skill_level,region,hire_date,certification_count,avg_csat_score,status
1,William Taylor,EMP10001,RAN,Intermediate,Northern Ireland,2019-04-23,4,3.73,Active
2,James Roberts,EMP10002,Fibre,Junior,North East,2018-11-15,5,3.86,Active
3,Robert Williams,EMP10003,RAN,Intermediate,South East,2018-07-24,3,3.69,Active
4,William Thomas,EMP10004,Enterprise,Expert,Scotland,2018-10-04,4,4.89,Active
5,Richard Johnson,EMP10005,Fibre,Expert,North East,2017-03-09,8,4.85,Active
6,Joseph Williams,EMP10006,Network,Junior,Northern Ireland,2022-02-21,4,4.38,Active
7,John Wilson,EMP10007,Installation,Expert,North East,2016-12-25,2,4.27,Active
8,Richard Brown,EMP10008,RAN,Expert,Wales,2019-06-24,4,4.68,Active
9,Michael Taylor,EMP10009,RAN,Intermediate,Scotland,2022-10-15,7,4.2,Active
10,Michael Jones,EMP10010,Fibre,Senior,South East,2017-05-15,4,3.79,Active
11,Grace Davies,EMP10011,Network,Intermediate,South East,2023-05-08,8,4.71,Active
12,John Smith,EMP10012,Installation,Expert,Midlands,2023-10-28,3,4.11,Active
13,John Davies,EMP10013,Fibre,Junior,Scotland,2020-06-04,5,4.89,Active
14,Grace Hughes,EMP10014,Repair,Junior,Midlands,2021-09-21,1,4.37,Active
15,John Jones,EMP10015,Enterprise,Intermediate,Northern Ireland,2021-05-28,3,3.59,Active
16,Robert Williams,EMP10016,RAN,Expert,Scotland,2022-11-02,2,4.91,Active
17,John Williams,EMP10017,Fibre,Senior,Northern Ireland,2018-06-06,6,4.9,Active
18,Sarah Wilson,EMP10018,Network,Intermediate,North West,2016-11-21,8,3.97,Active
19,James White,EMP10019,Enterprise,Expert,South East,2024-02-09,2,4.31,Active
20,Sophie Williams,EMP10020,Repair,Intermediate,South West,2023-06-09,8,4.75,Active
21,James Johnson,EMP10021,RAN,Junior,South West,2018-01-23,5,3.67,Active
22,David Thomas,EMP10022,Network,Senior,North East,2018-09-19,4,4.53,Active
23,Jessica Thomas,EMP10023,Installation,Junior,Scotland,2019-04-03,5,3.57,Active
24,Emma Davies,EMP10024,RAN,Intermediate,Scotland,2023-06-16,1,3.67,On Leave
25,David Jones,EMP10025,Network,Senior,South West,2017-03-04,7,3.69,Active
26,Sophie Evans,EMP10026,RAN,Intermediate,South East,2024-06-22,6,4.67,Active
27,David Wilson,EMP10027,Repair,Expert,South West,2020-05-13,7,3.54,Active
28,Grace Wilson,EMP10028,Network,Junior,South East,2021-03-13,7,4.81,Active
29,Richard White,EMP10029,Network,Intermediate,Midlands,2022-06-05,4,3.54,Active
30,Emma Williams,EMP10030,Network,Intermediate,Northern Ireland,2021-03-29,7,4.52,Active
31,James Taylor,EMP10031,Network,Junior,North West,2021-03-17,1,3.66,Active
32,Grace Taylor,EMP10032,Fibre,Expert,Midlands,2021-05-28,5,3.57,Active
33,Richard Walker,EMP10033,Fibre,Junior,North East,2019-02-03,6,4.5,Active
34,Olivia Thompson,EMP10034,Network,Intermediate,North West,2021-07-21,3,3.79,Active
35,William Johnson,EMP10035,Fibre,Intermediate,London,2020-09-02,5,3.93,Active
36,Sarah White,EMP10036,Fibre,Intermediate,Midlands,2018-06-02,8,4.69,Training
37,Robert Johnson,EMP10037,Enterprise,Senior,North East,2023-01-07,2,4.73,Active
38,Olivia Wilson,EMP10038,Repair,Junior,London,2017-05-18,4,4.98,Active
39,Chloe Thompson,EMP10039,RAN,Senior,Scotland,2024-02-08,8,4.1,Active
40,James Taylor,EMP10040,Fibre,Intermediate,Northern Ireland,2017-03-18,8,3.58,Active
41,Chloe Brown,EMP10041,Fibre,Senior,Northern Ireland,2023-07-24,6,4.93,Active
42,Grace White,EMP10042,Repair,Senior,Wales,2018-01-19,8,3.89,Active
43,Emma Hughes,EMP10043,RAN,Intermediate,Wales,2017-10-09,2,4.57,Active
44,Sarah Williams,EMP10044,Repair,Junior,Scotland,2021-02-26,3,4.56,Active
45,Sarah White,EMP10045,Fibre,Junior,Scotland,2020-05-08,7,4.86,Active
46,James Wright,EMP10046,Fibre,Junior,North East,2017-02-14,5,4.63,Active
47,Joseph Hughes,EMP10047,Repair,Intermediate,Wales,2020-03-22,1,4.08,Active
48,William White,EMP10048,Repair,Expert,Northern Ireland,2020-05-21,1,4.86,Active
49,James Williams,EMP10049,RAN,Intermediate,Wales,2017-06-27,3,3.58,Active
50,Chloe Roberts,EMP10050,Network,Senior,Scotland,2022-07-20,5,4.63,Active
51,Robert Hughes,EMP10051,Installation,Senior,London,2022-02-03,6,3.84,Active
52,John Smith,EMP10052,Repair,Junior,London,2017-08-12,3,3.86,Active
53,Richard White,EMP10053,RAN,Intermediate,North East,2023-08-22,3,4.41,Training
54,Michael Davies,EMP10054,Network,Junior,London,2016-11-12,5,4.36,On Leave
55,Emily Evans,EMP10055,Installation,Senior,Midlands,2020-09-17,2,4.55,Active
56,Michael Jones,EMP10056,Network,Intermediate,North East,2017-04-01,2,4.26,Active
57,Jessica Taylor,EMP10057,Fibre,Expert,Wales,2020-03-18,3,4.15,Active
58,Emma Hughes,EMP10058,Fibre,Intermediate,North West,2017-08-17,6,4.78,Active
59,Emma White,EMP10059,Repair,Senior,Scotland,2023-12-14,6,3.54,Active
60,Jessica Evans,EMP10060,Network,Senior,North East,2022-11-19,5,4.82,Active
61,James Evans,EMP10061,Installation,Intermediate,Scotland,2021-10-28,8,4.33,Active
62,Jessica White,EMP10062,Installation,Junior,Midlands,2019-08-01,7,4.54,Active
63,Sophie Hughes,EMP10063,Enterprise,Intermediate,Scotland,2018-05-26,6,4.03,Active
64,Emma Wilson,EMP10064,Installation,Senior,North East,2021-06-26,2,4.61,Training
65,William Evans,EMP10065,Repair,Senior,North West,2017-03-08,5,4.97,Active
66,Joseph Walker,EMP10066,Repair,Intermediate,Northern Ireland,2021-08-07,3,3.91,Training
67,Olivia Brown,EMP10067,RAN,Expert,Wales,2018-09-19,2,4.81,Active
68,Jessica White,EMP10068,Network,Junior,London,2019-08-29,5,4.91,Active
69,Emily Hughes,EMP10069,Installation,Senior,London,2024-03-10,3,3.72,Active
70,Robert Wilson,EMP10070,Installation,Senior,Scotland,2021-07-07,4,4.66,Active
71,Olivia Thompson,EMP10071,Network,Senior,London,2019-12-16,2,4.92,Active
72,Emma Williams,EMP10072,Repair,Intermediate,Northern Ireland,2022-07-22,2,3.73,Active
73,Jessica Johnson,EMP10073,Installation,Intermediate,North West,2017-03-11,8,3.61,Active
74,Richard Thompson,EMP10074,Installation,Intermediate,South West,2021-12-15,5,4.74,Active
75,Olivia Johnson,EMP10075,Fibre,Junior,North West,2023-01-23,7,4.91,Active
76,Chloe Williams,EMP10076,Enterprise,Junior,Scotland,2019-05-21,6,4.41,Active
77,James Thomas,EMP10077,Enterprise,Junior,South West,2022-05-10,8,4.28,Active
78,William Thompson,EMP10078,RAN,Senior,South East,2021-10-20,8,4.02,Active
79,Michael Davies,EMP10079,Network,Intermediate,Wales,2017-05-29,5,4.49,Active
80,John White,EMP10080,Installation,Intermediate,North East,2018-10-02,2,4.96,Active
81,James White,EMP10081,Fibre,Junior,Northern Ireland,2019-02-25,6,4.43,Active
82,John Evans,EMP10082,Network,Intermediate,North West,2019-12-19,8,4.82,Active
83,Joseph Davies,EMP10083,Network,Senior,Northern Ireland,2024-08-06,7,3.64,Training
84,Chloe Taylor,EMP10084,RAN,Senior,Wales,2023-08-26,5,4.26,Active
85,Jessica Wilson,EMP10085,Fibre,Senior,Scotland,2019-07-06,4,4.88,Active
86,Robert Thomas,EMP10086,Fibre,Intermediate,Northern Ireland,2023-05-23,5,4.73,Active
87,Jessica Brown,EMP10087,Fibre,Intermediate,North East,2021-07-29,6,4.33,Active
88,Sarah Evans,EMP10088,RAN,Intermediate,Scotland,2019-10-25,4,4.78,Active
89,Jessica Wright,EMP10089,Fibre,Expert,South West,2021-05-09,8,4.95,Active
90,Sarah Taylor,EMP10090,Fibre,Junior,Wales,2018-04-21,1,4.58,Active
91,David Williams,EMP10091,Fibre,Senior,North West,2017-07-31,6,4.43,Active
92,Sarah Wright,EMP10092,Network,Senior,Wales,2024-01-09,1,4.43,Active
93,Olivia Wilson,EMP10093,RAN,Junior,South East,2017-03-31,2,4.17,Active
94,John Roberts,EMP10094,Installation,Intermediate,North East,2024-08-06,7,3.72,Active
95,William Davies,EMP10095,Repair,Junior,Scotland,2018-07-29,4,4.25,Active
96,Chloe Thomas,EMP10096,Fibre,Intermediate,London,2022-04-26,8,4.85,Active
97,Robert White,EMP10097,Network,Expert,North West,2023-02-24,7,4.54,Active
98,Richard Wright,EMP10098,Fibre,Junior,Scotland,2021-07-14,6,4.36,Training
99,James Wright,EMP10099,Network,Junior,London,2021-08-11,8,4.75,On Leave
100,Sophie Wilson,EMP10100,RAN,Junior,North West,2022-05-05,3,4.44,On Leave
101,John Johnson,EMP10101,Fibre,Junior,North East,2017-09-03,3,3.64,Active
102,William Evans,EMP10102,Repair,Senior,North East,2020-04-06,5,4.75,Active
103,Olivia Roberts,EMP10103,Installation,Intermediate,South East,2019-07-09,3,4.63,Active
104,Emily Walker,EMP10104,Installation,Senior,London,2017-05-03,5,4.3,Active
105,Emma Wright,EMP10105,RAN,Expert,South East,2017-05-18,4,4.21,Active
106,Sarah Wilson,EMP10106,RAN,Junior,Wales,2018-08-17,5,4.47,Active
107,John Johnson,EMP10107,Fibre,Junior,Midlands,2024-05-31,3,4.08,Active
108,Grace Brown,EMP10108,Fibre,Senior,Wales,2017-02-10,7,4.91,Active
109,Sophie Evans,EMP10109,Fibre,Intermediate,Midlands,2017-03-07,6,3.65,Active
110,Sophie Jones,EMP10110,Fibre,Intermediate,South East,2018-10-25,8,3.64,Active
111,James Jones,EMP10111,Network,Intermediate,South West,2017-10-01,4,3.6,Active
112,Richard Wilson,EMP10112,Network,Senior,London,2022-08-07,5,4.79,Active
113,Emma Davies,EMP10113,Installation,Senior,London,2023-06-19,3,3.52,Active
114,Sarah Smith,EMP10114,Repair,Intermediate,South West,2022-04-03,7,4.29,Active
115,Chloe Walker,EMP10115,Enterprise,Senior,Wales,2019-08-01,4,4.92,Active
116,Olivia White,EMP10116,RAN,Expert,London,2017-07-14,8,4.77,Active
